Event,Date,Price at Event ($),Lowest Price After ($),Max Drawdown (%)
WHO Declares COVID-19 Pandemic,2020-03-11,7911.43,4106.98,-48.09
Coinbase IPO (Crypto Peak),2021-04-14,63109.7,47159.48,-25.27
Russia-Ukraine Conflict Begins,2022-02-24,38332.61,34459.22,-10.1
FTX Exchange Collapse,2022-11-08,18541.27,15599.05,-15.87
US Banking Crisis (SVB Collapse),2023-03-10,20187.24,19628.25,-2.77
SEC Sues Binance,2023-06-05,25760.1,24797.17,-3.74
SEC Sues Coinbase,2023-06-06,27238.78,24797.17,-8.96
CZ Resigns from Binance,2023-11-21,35813.81,35670.97,-0.4
Ethereum Shapella Upgrade,2023-04-12,30139.05,27070.85,-10.18
Bitcoin Spot ETF Approved,2024-01-10,46627.78,38521.89,-17.38
Bitcoin Halving 2024,2024-04-20,64994.44,59120.07,-9.04
